fid,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation,X,Y
"136",18.01136,9.77544,62.96594,149.11447,25.8905,10.36553,15.52497,19.45663,16.19175,1461.60962,276.0997,26.53787,78.45454,671.24622,88.85763,1483,-91.677472,16.078
"137",25.24313,11.04053,59.70598,210.19313,34.67655,16.18506,18.49149,27.33382,22.65936,1891.36475,329.02151,45.29402,63.26592,807.10254,170.23018,284.5,-92.714889,17.201278
"138",26.66202,10.05076,59.44952,176.16982,34.96935,18.06297,16.90638,28.30161,24.61206,1003.54565,232.97639,4.51122,110.44044,603.77521,13.72869,60.5,-95.094278,16.564611
"139",24.31412,12.66509,77.07267,85.17384,32.17089,15.73823,16.43266,25.13522,23.35814,3613.17822,672.70319,15.98083,85.07095,1763.87268,126.96262,682,-92.225,15.076111
"140",24.77849,15.46414,66.64871,203.58723,36.59244,13.38999,23.20245,27.17924,22.39861,941.51465,203.0899,2.11849,112.11717,596.30981,8.83981,853,-99.415278,18.325
"141",26.66202,10.05076,59.44952,176.16982,34.96935,18.06297,16.90638,28.30161,24.61206,1003.54565,232.97639,4.51122,110.44044,603.77521,13.72869,60.5,-95.091944,16.565278
"142",23.19731,14.60339,68.94318,161.20224,33.52254,12.34077,21.18177,24.75288,21.21161,648.95203,137.11391,1.1083,100.80647,354.1106,14.52871,869.5,-96.100083,16.497944
"143",23.78322,12.32078,70.34157,128.98055,32.19918,14.68353,17.51565,24.95712,22.18439,772.71698,160.45039,2.84252,103.85473,461.97269,12.62891,669.5,-93.975028,16.493861
"144",24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863,-99.508333,18.308333
"145",16.84556,12.73686,66.6418,159.31105,26.71596,7.60353,19.11242,18.78756,15.0032,865.85028,162.049,6.92294,87.33999,450.37589,40.45066,2007.5,-96.5405,17.276556
"146",25.97211,12.54739,68.95608,135.6862,33.85322,15.65702,18.1962,27.14167,24.49215,1058.25989,269.629,0.59475,117.37744,691.91907,13.91183,18,-97.12,15.910556
