verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles (Nyssorhynchus) albimanus,16.404139,-90.702611,100.0,2002,24.84503,11.02159,59.14733,210.30103,34.54843,15.91431,18.63412,26.8989,22.26922,2806.94409,523.60461,54.61182,72.79236,1409.95471,192.50932,131.0
Anopheles (Nyssorhynchus) albimanus,16.766944,-99.224722,100.0,2002,26.30344,11.80005,69.55959,119.48988,34.10347,17.13952,16.96395,27.39406,25.00185,1293.81897,313.18951,0.68055,115.32852,806.6734,6.88798,37.0
Anopheles (Nyssorhynchus) albimanus,15.15225,-92.726833,100.0,2001,27.6007,12.96582,74.74957,100.14512,35.50175,18.15607,17.34568,28.4191,26.49213,2989.09082,595.98608,6.64524,93.68622,1600.48181,47.64396,6.5
Anopheles (Nyssorhynchus) albimanus,15.4525,-92.162222,100.0,1990,15.16957,11.1033,77.19807,85.63619,22.47433,8.09145,14.38288,16.00384,14.09869,1870.71777,356.36731,19.86627,80.42913,838.79199,93.22266,2420.5
Anopheles (Nyssorhynchus) albimanus,15.175833,-92.75,100.0,1990,27.59495,12.96498,74.93525,99.39983,35.48138,18.1798,17.30158,28.41931,26.49465,2993.47607,598.49628,6.70993,93.98125,1610.20483,47.74029,7.0
Anopheles (Nyssorhynchus) albimanus,16.763611,-90.99175,90.0,2001,25.40315,12.51849,60.35987,232.07907,36.68976,15.95,20.73976,27.80507,22.6301,2394.9187,430.87009,54.41219,65.85452,1090.62646,194.06702,149.0
Anopheles (Nyssorhynchus) albimanus,15.266389,-92.899167,100.0,1990,27.47689,12.85345,76.08586,91.48957,35.2778,18.38445,16.89335,28.24895,26.50123,2911.54126,589.62097,5.85693,96.07727,1606.54907,44.34441,7.0
Anopheles (Nyssorhynchus) albimanus,15.15225,-92.726833,100.0,2002,27.6007,12.96582,74.74957,100.14512,35.50175,18.15607,17.34568,28.4191,26.49213,2989.09082,595.98608,6.64524,93.68622,1600.48181,47.64396,6.5
Anopheles (Nyssorhynchus) albimanus,15.644444,-93.386111,100.0,1990,27.98528,12.03556,74.17303,93.18637,35.5595,19.33318,16.22632,28.9291,27.09781,2297.37695,490.18729,2.80172,101.23489,1309.29688,28.54305,10.0
Anopheles (Nyssorhynchus) albimanus,15.977472,-93.776222,100.0,2001,28.13199,11.44883,73.99166,100.39126,35.34541,19.87227,15.47314,29.14669,27.12392,1654.57361,331.0351,1.71081,102.02367,932.45825,21.44677,10.0
Anopheles (Nyssorhynchus) albimanus,15.327778,-92.866667,100.0,1990,27.31358,12.92911,75.32794,93.86855,35.31401,18.15025,17.16376,28.17136,26.28276,2965.42432,602.18439,6.47415,96.22577,1642.35803,47.18399,11.0
Anopheles (Nyssorhynchus) albimanus,15.654722,-93.414444,100.0,1990,28.03323,11.99549,74.20934,93.05183,35.57164,19.40725,16.16439,28.96809,27.14833,2271.08301,483.10861,2.74176,101.28353,1293.02539,28.15546,0.0
Anopheles (Nyssorhynchus) albimanus,19.204167,-104.682778,90.0,1990,25.96888,12.70016,68.54844,191.35988,33.65461,15.12733,18.52728,27.93321,23.53185,821.09961,220.0629,0.44069,113.94843,543.99188,3.48603,8.0
Anopheles (Nyssorhynchus) albimanus,15.644444,-93.386111,100.0,1990,27.98528,12.03556,74.17303,93.18637,35.5595,19.33318,16.22632,28.9291,27.09781,2297.37695,490.18729,2.80172,101.23489,1309.29688,28.54305,10.0
